obj 18794 2647.41016 1147.48169 56.85419   0.00000 -30.00000 0.00000
obj 18788 2771.14111 2493.32397 32.35306   0.00000 0.00000 90.00000
obj 18791 2708.32056 2607.40283 32.91396   0.00000 0.00000 -202.50000
obj 18788 2649.34668 2615.16821 32.35306   0.00000 0.00000 180.00000
obj 18791 3011.46045 1139.72571 188.63828   0.00000 0.00000 -202.50000
obj 18796 2873.29248 1147.48169 198.08688   0.00000 10.00000 0.00000
obj 18791 3066.56250 1084.61572 188.63828   0.00000 0.00000 -247.50000
obj 18788 3074.31152 1025.64673 188.07738   0.00000 0.00000 -90.00000
obj 18791 1694.67139 2790.31934 158.75638   0.00000 0.00000 -157.50000
obj 18791 3067.24854 966.67303 188.63828   0.00000 0.00000 -291.50000
obj 18791 3013.13037 910.65314 188.63828   0.00000 0.00000 -336.50000
obj 18788 2609.34668 2615.16821 32.35306   0.00000 0.00000 180.00000
obj 18788 2954.42773 902.23553 188.07738   0.00000 0.00000 180.00000
obj 18796 2569.55664 2615.16821 30.18106   0.00000 10.00000 180.00000
obj 18794 2530.81055 2615.16821 20.23146   0.00000 15.00000 180.00000
obj 18794 2490.31055 2615.16821 20.14386   0.00000 0.00000 180.00000
obj 18794 2451.11108 2615.16821 30.54666   0.00000 -15.00000 180.00000
obj 18796 2415.29907 2615.16821 49.40806   0.00000 -22.00000 180.00000
obj 18796 2376.61304 2615.16821 58.69546   0.00000 -5.00000 180.00000
obj 18788 1753.63391 2798.07104 158.19548   0.00000 0.00000 0.00000
obj 18796 2336.77100 2615.16821 56.97456   0.00000 10.00000 180.00000
obj 18794 2771.14111 1194.28625 28.06576   0.00000 15.00000 90.00000
obj 18788 2771.14111 996.15259 31.48646   0.00000 0.00000 90.00000
obj 18796 2771.14111 1115.70422 39.74406   0.00000 -5.00000 90.00000
obj 18788 2771.14111 1036.15259 31.48646   0.00000 0.00000 90.00000
obj 18796 2298.80688 2615.16821 44.82355   0.00000 25.50000 180.00000
obj 18794 2263.97681 2615.16821 25.21685   0.00000 29.50000 180.00000
obj 18794 2224.82495 2615.16821 14.64805   0.00000 15.50000 180.00000
obj 18788 2184.29492 2615.16821 14.36555   0.00000 0.00000 180.00000
obj 18794 2771.14111 1076.12427 31.48646   0.00000 0.00000 90.00000
obj 18794 1132.48608 2615.16821 168.92126   0.00000 29.50000 180.00000
obj 18796 2771.14111 1155.54028 38.01536   0.00000 10.00000 90.00000
obj 18794 2771.14111 1234.78625 27.97816   0.00000 0.00000 90.00000
obj 18796 2771.14111 1274.36621 36.23576   0.00000 -5.00000 90.00000
obj 18791 1133.00439 2870.37158 114.41278   0.00000 0.00000 -202.50000
obj 18791 1188.10645 2815.26172 114.41278   0.00000 0.00000 -247.50000
obj 18788 1195.85559 2756.29272 113.85188   0.00000 0.00000 -90.00000
obj 18796 2771.14111 1314.20227 34.50706   0.00000 10.00000 90.00000
obj 18788 2144.29492 2615.16821 14.36555   0.00000 0.00000 180.00000
obj 18794 2771.14111 1352.94824 24.55746   0.00000 15.00000 90.00000
obj 18788 2104.29492 2615.16821 14.36555   0.00000 0.00000 180.00000
obj 18794 2528.81396 834.31757 31.56856   0.00000 15.00000 0.00000
obj 18794 2771.14111 1393.44824 24.46986   0.00000 0.00000 90.00000
obj 18796 2771.14111 1433.02820 32.72746   0.00000 -5.00000 90.00000
obj 18796 1875.46106 2636.44604 156.02348   0.00000 10.00000 -90.00000
obj 18796 2771.14111 1472.86426 30.99876   0.00000 10.00000 90.00000
obj 18796 1875.46106 2598.48193 143.87248   0.00000 25.50000 -90.00000
obj 18796 1875.46106 2564.92896 122.28698   0.00000 40.00000 -90.00000
obj 18794 2064.32324 2615.16821 14.36555   0.00000 0.00000 180.00000
obj 18794 2025.12378 2615.16821 24.76835   0.00000 -15.00000 180.00000
obj 18794 1990.03076 2615.16821 44.92205   0.00000 -30.00000 180.00000
obj 18788 1961.41467 2615.16821 73.67905   0.00000 45.50000 360.00000
obj 18794 2771.14111 1511.61023 21.04916   0.00000 15.00000 90.00000
obj 18796 1933.02441 2615.16821 101.71716   0.00000 40.00000 360.00000
obj 18796 1898.88843 2615.16821 122.02515   0.00000 21.50000 360.00000
obj 18796 1860.12048 2615.16821 130.96315   0.00000 4.50000 360.00000
obj 18788 1820.08850 2615.16821 131.22586   0.00000 0.00000 180.00000
obj 18788 1875.46106 2536.99292 93.72188   0.00000 47.50000 -90.00000
obj 18794 1875.46106 2509.99292 64.23828   0.00000 47.50000 -90.00000
obj 18794 1875.46106 2475.74902 42.52158   0.00000 32.00000 -90.00000
obj 18794 1875.46106 2436.83691 31.25948   0.00000 15.00000 -90.00000
obj 18788 1195.85559 2716.29272 113.85188   0.00000 0.00000 -90.00000
obj 18788 1195.85559 2676.29272 113.85188   0.00000 0.00000 -90.00000
obj 18794 2771.14111 1552.11023 20.96156   0.00000 0.00000 90.00000
obj 18788 2569.31396 834.31757 31.48646   0.00000 0.00000 0.00000
obj 18801 1865.83765 2413.79370 54.80628   0.00000 0.00000 -262.70001
obj 18788 1856.20032 2391.31860 31.13948   0.00000 0.00000 -90.00000
obj 18796 2771.14111 1591.69019 29.21915   0.00000 -5.00000 90.00000
obj 18796 2771.14111 1631.52625 27.49046   0.00000 10.00000 90.00000
obj 18794 2771.14111 1670.27222 17.54086   0.00000 15.00000 90.00000
obj 18794 2771.14111 1710.77222 17.45325   0.00000 0.00000 90.00000
obj 18796 2771.14111 1750.35217 25.71085   0.00000 -5.00000 90.00000
obj 18796 2771.14111 1790.18823 23.98215   0.00000 10.00000 90.00000
obj 18791 1203.61853 2617.34229 114.41278   0.00000 0.00000 -67.50000
obj 18791 1258.68384 2562.25684 114.41278   0.00000 0.00000 -22.50000
obj 18788 1317.65674 2554.48779 113.85188   0.00000 0.00000 0.00000
obj 18788 1780.08850 2615.16821 131.22586   0.00000 0.00000 180.00000
obj 18788 1740.08850 2615.16821 131.22586   0.00000 0.00000 180.00000
obj 18791 2708.29004 842.07355 32.04736   0.00000 0.00000 22.50000
obj 18791 2763.39209 897.18359 32.04736   0.00000 0.00000 67.50000
obj 18788 2771.14111 956.15259 31.48646   0.00000 0.00000 90.00000
obj 18788 1700.08850 2615.16821 131.22586   0.00000 0.00000 180.00000
obj 18794 1093.33398 2615.16821 158.35246   0.00000 15.50000 180.00000
obj 18794 1383.19104 2615.16821 125.91116   0.00000 -15.00000 180.00000
obj 18796 1318.42004 2615.16821 173.52966   0.00000 -37.00000 180.00000
obj 18796 1660.29846 2615.16821 129.05386   0.00000 10.00000 180.00000
obj 18794 2375.78198 834.31757 15.06806   0.00000 -15.00000 0.00000
obj 18794 1621.55249 2615.16821 119.10426   0.00000 15.00000 180.00000
obj 18794 1581.05249 2615.16821 119.01666   0.00000 0.00000 180.00000
obj 18791 1568.83215 2562.24390 158.75638   0.00000 0.00000 22.50000
obj 18796 1541.47253 2615.16821 127.27426   0.00000 -5.00000 180.00000
obj 18796 1501.63647 2615.16821 125.54556   0.00000 10.00000 180.00000
obj 18794 1462.89050 2615.16821 115.59596   0.00000 15.00000 180.00000
obj 18794 1422.39050 2615.16821 115.50836   0.00000 0.00000 180.00000
obj 18794 1348.09802 2615.16821 146.06487   0.00000 -30.00000 180.00000
obj 18796 2411.59399 834.31757 33.92946   0.00000 -22.00000 0.00000
obj 18796 1283.75208 2615.16821 193.13486   0.00000 -22.00000 180.00000
obj 18796 1245.10608 2615.16821 202.41747   0.00000 -5.00000 180.00000
obj 18796 1205.28003 2615.16821 200.67897   0.00000 10.00000 180.00000
obj 18791 1623.93420 2617.35376 158.75638   0.00000 0.00000 67.50000
obj 18796 2450.28003 834.31757 43.21686   0.00000 -5.00000 0.00000
obj 18796 2490.12207 834.31757 41.49596   0.00000 10.00000 0.00000
obj 18796 1167.31604 2615.16821 188.52797   0.00000 25.50000 180.00000
obj 18788 1052.80408 2615.16821 158.06998   0.00000 0.00000 180.00000
obj 18788 1631.68335 2676.32275 158.19548   0.00000 0.00000 90.00000
obj 18788 2649.31396 834.31757 31.48646   0.00000 0.00000 0.00000
obj 18788 2914.42773 902.23553 188.07738   0.00000 0.00000 180.00000
obj 18788 2609.31396 834.31757 31.48646   0.00000 0.00000 0.00000
obj 18792 2854.44580 902.23553 188.64348   0.00000 0.00000 0.00000
obj 18792 2774.44580 902.23553 188.64348   15.00000 0.00000 0.00000
obj 18788 2714.44580 902.50751 188.15968   30.00000 0.00000 360.00000
obj 18788 2674.44580 902.50751 188.15968   30.00000 0.00000 360.00000
obj 18788 2634.44580 902.50751 188.15968   30.00000 0.00000 360.00000
obj 18788 2594.44580 902.50751 188.15968   30.00000 0.00000 360.00000
obj 18788 2554.44580 902.50751 188.15968   30.00000 0.00000 360.00000
obj 18793 2494.57788 902.24750 188.65608   -15.00000 0.00000 180.00000
obj 18793 2414.57788 902.24750 188.65608   0.00000 0.00000 180.00000
obj 18794 1396.82788 2554.48779 124.25468   0.00000 -15.00000 0.00000
obj 18796 1432.12036 2554.48779 144.03528   0.00000 -25.00000 0.00000
obj 18796 1470.12036 2554.48779 156.02199   0.00000 -10.00000 0.00000
obj 18788 1509.85620 2554.48779 158.19548   0.00000 0.00000 0.00000
obj 18794 1357.62842 2554.48779 113.85188   0.00000 0.00000 0.00000
obj 18796 1013.01410 2615.16821 155.89798   0.00000 10.00000 180.00000
obj 18796 975.05011 2615.16821 143.74698   0.00000 25.50000 180.00000
obj 18796 941.49713 2615.16821 122.16148   0.00000 40.00000 180.00000
obj 18788 913.56116 2615.16821 93.59637   0.00000 47.50000 180.00000
obj 18794 886.56116 2615.16821 64.11278   0.00000 47.50000 180.00000
obj 18794 852.31714 2615.16821 42.39608   0.00000 32.00000 180.00000
obj 18794 813.40515 2615.16821 31.13397   0.00000 15.00000 180.00000
obj 18801 790.41113 2624.85425 54.72187   0.00000 0.00000 7.10000
obj 18788 767.96515 2634.54419 31.08838   0.00000 0.00000 180.00000
obj 18794 2336.58252 834.31757 4.66526   0.00000 0.00000 0.00000
obj 18788 2216.61084 834.31757 4.66526   0.00000 0.00000 0.00000
obj 18788 2256.61084 834.31757 4.66526   0.00000 0.00000 0.00000
obj 18788 2296.61084 834.31757 4.66526   0.00000 0.00000 0.00000
obj 18794 1856.20032 2351.34692 31.13948   0.00000 0.00000 -90.00000
obj 18796 1856.20032 2311.76685 39.39708   0.00000 -5.00000 -90.00000
obj 18796 1856.20032 2271.93091 37.66838   0.00000 10.00000 -90.00000
obj 18794 1856.20032 2233.18481 27.71878   0.00000 15.00000 -90.00000
obj 18794 1856.20032 2192.68481 27.63118   0.00000 0.00000 -90.00000
obj 18788 727.96515 2634.54419 31.08838   0.00000 0.00000 180.00000
obj 18788 687.96515 2634.54419 31.08838   0.00000 0.00000 180.00000
obj 18794 647.99347 2634.54419 31.08838   0.00000 0.00000 180.00000
obj 18794 608.79395 2634.54419 41.49117   0.00000 -15.00000 180.00000
obj 18796 573.50146 2634.54419 61.27177   0.00000 -25.00000 180.00000
obj 18796 535.50146 2634.54419 73.25847   0.00000 -10.00000 180.00000
obj 18788 495.76566 2634.54419 75.43198   0.00000 0.00000 180.00000
obj 18788 455.76566 2634.54419 75.43198   0.00000 0.00000 180.00000
obj 18788 415.76566 2634.54419 75.43198   0.00000 0.00000 180.00000
obj 18791 356.83954 2642.29858 75.99287   0.00000 0.00000 -22.50000
obj 18791 301.76935 2697.40942 75.99287   0.00000 0.00000 -67.50000
obj 18788 294.01685 2756.37939 75.43198   0.00000 0.00000 90.00000
obj 18791 301.84595 2815.31323 75.99287   0.00000 0.00000 -112.60000
obj 18791 357.00485 2870.37598 75.99287   0.00000 0.00000 -157.50000
obj 18788 415.96744 2878.12769 75.43198   0.00000 0.00000 0.00000
obj 18788 455.96744 2878.12769 75.43198   0.00000 0.00000 0.00000
obj 18788 495.96744 2878.12769 75.43198   0.00000 0.00000 0.00000
obj 18788 535.96741 2878.12769 75.43198   0.00000 0.00000 0.00000
obj 18788 575.96741 2878.12769 75.43198   0.00000 0.00000 0.00000
obj 18794 615.93909 2878.12769 75.43198   0.00000 0.00000 0.00000
obj 18794 655.13861 2878.12769 85.83478   0.00000 -15.00000 0.00000
obj 18796 690.95062 2878.12769 104.69618   0.00000 -22.00000 0.00000
obj 18796 729.63660 2878.12769 113.98358   0.00000 -5.00000 0.00000
obj 18796 769.47864 2878.12769 112.26268   0.00000 10.00000 0.00000
obj 18796 807.44263 2878.12769 100.11168   0.00000 25.50000 0.00000
obj 18794 842.18860 2878.12769 80.35178   0.00000 30.00000 0.00000
obj 18794 881.30066 2878.12769 69.59458   0.00000 15.00000 0.00000
obj 18794 921.80066 2878.12769 69.50828   0.00000 0.00000 0.00000
obj 18794 961.00018 2878.12769 79.91108   0.00000 -15.00000 0.00000
obj 18796 1856.20032 2153.39233 37.62338   0.00000 -10.00000 -90.00000
obj 18788 1856.20032 2113.65649 39.79708   0.00000 0.00000 -90.00000
obj 18788 1856.20032 2073.65649 39.79708   0.00000 0.00000 -90.00000
obj 18788 1856.20032 2033.65649 39.79708   0.00000 0.00000 -90.00000
obj 18788 1856.20032 1993.65649 39.79708   0.00000 0.00000 -90.00000
obj 18788 1856.20032 1953.65649 39.79708   0.00000 0.00000 -90.00000
obj 18793 1856.20117 1893.66443 40.35928   0.00000 0.00000 90.00000
obj 18793 1856.20117 1813.66443 40.35928   -15.00000 0.00000 90.00000
obj 18788 1856.49915 1753.66443 39.86978   30.00000 0.00000 -90.00000
obj 18788 1856.49915 1713.66443 39.86978   30.00000 0.00000 -90.00000
obj 18792 1856.22717 1653.69849 40.34608   15.00000 0.00000 -90.00000
obj 18792 1856.22717 1573.69849 40.34608   0.00000 0.00000 -90.00000
obj 18788 1856.20190 1513.71069 39.78318   0.00000 0.00000 -90.00000
obj 18791 1849.13904 1454.73694 40.34408   0.00000 0.00000 -291.50000
obj 18791 1795.02075 1398.71704 40.34408   0.00000 0.00000 -336.50000
obj 18788 1736.31812 1390.29944 39.78318   0.00000 0.00000 180.00000
obj 18791 1677.40527 1382.92493 40.34408   0.00000 0.00000 -158.00000
obj 18791 1622.06958 1328.18018 40.34408   0.00000 0.00000 -112.60000
obj 18788 1614.27039 1269.28674 39.78318   0.00000 0.00000 -90.00000
obj 18791 1622.03333 1210.33618 40.34408   0.00000 0.00000 -67.50000
obj 18791 1677.09863 1155.25098 40.34408   0.00000 0.00000 -22.50000
obj 18788 1736.07153 1147.48169 39.78318   0.00000 0.00000 0.00000
obj 18794 1776.04321 1147.48169 39.78318   0.00000 0.00000 0.00000
obj 18794 1815.24268 1147.48169 50.18598   0.00000 -15.00000 0.00000
obj 18796 1850.53516 1147.48169 69.96658   0.00000 -25.00000 0.00000
obj 18796 1888.53516 1147.48169 81.95328   0.00000 -10.00000 0.00000
obj 18788 1928.27100 1147.48169 84.12679   0.00000 0.00000 0.00000
obj 18788 1968.27100 1147.48169 84.12679   0.00000 0.00000 0.00000
obj 18794 2008.24268 1147.48169 84.12679   0.00000 0.00000 0.00000
obj 18794 2047.44214 1147.48169 94.52959   0.00000 -15.00000 0.00000
obj 18796 2083.25415 1147.48169 113.39099   0.00000 -22.00000 0.00000
obj 18796 2121.94019 1147.48169 122.67839   0.00000 -5.00000 0.00000
obj 18796 2161.78223 1147.48169 120.95749   0.00000 10.00000 0.00000
obj 18794 2200.52832 1147.48169 111.00789   0.00000 15.00000 0.00000
obj 18794 2241.02832 1147.48169 110.92029   0.00000 0.00000 0.00000
obj 18796 2280.32080 1147.48169 120.91249   0.00000 -10.00000 0.00000
obj 18788 2320.05664 1147.48169 123.08619   0.00000 0.00000 0.00000
obj 18796 2359.84668 1147.48169 120.91419   0.00000 10.00000 0.00000
obj 18796 2397.81079 1147.48169 108.76319   0.00000 25.50000 0.00000
obj 18796 2431.36377 1147.48169 87.17769   0.00000 40.00000 0.00000
obj 18794 2459.10986 1147.48169 58.56929   0.00000 48.00000 0.00000
obj 18794 2493.56372 1147.48169 37.13059   0.00000 30.50000 0.00000
obj 18794 2532.61768 1147.48169 26.38779   0.00000 15.00000 0.00000
obj 18794 2573.11768 1147.48169 26.29769   0.00000 0.00000 0.00000
obj 18794 2612.31714 1147.48169 36.70049   0.00000 -15.00000 0.00000
obj 18761 2196.55933 834.80420 9.18172   0.00000 0.00000 90.00000
